时间(s),温度(摄氏度)
232,217.87
232.5,218.28
233,218.69
233.5,219.09
234,219.48
234.5,219.87
235,220.26
235.5,220.65
236,221.02
236.5,221.4
237,221.77
237.5,222.14
238,222.5
238.5,222.87
239,223.22
239.5,223.57
240,223.92
240.5,224.27
241,224.61
241.5,224.95
242,225.28
242.5,225.62
243,225.94
243.5,226.27
244,226.59
244.5,226.91
245,227.22
245.5,227.53
246,227.84
246.5,228.15
247,228.45
247.5,228.74
248,229.04
248.5,229.33
249,229.62
249.5,229.91
250,230.19
250.5,230.47
251,230.75
251.5,231.02
252,231.29
252.5,231.56
253,231.83
253.5,232.09
254,232.35
254.5,232.61
255,232.86
255.5,233.12
256,233.36
256.5,233.61
257,233.86
257.5,234.1
258,234.34
258.5,234.57
259,234.81
259.5,235.04
260,235.27
260.5,235.5
261,235.72
261.5,235.94
262,236.16
262.5,236.38
263,236.6
263.5,236.81
264,237.02
264.5,237.23
265,237.43
265.5,237.62
266,237.81
266.5,237.98
267,238.15
267.5,238.3
268,238.43
268.5,238.54
269,238.64
269.5,238.71
270,238.76
270.5,238.78
271,238.79
271.5,238.76
272,238.71
272.5,238.64
273,238.54
273.5,238.42
274,238.27
274.5,238.1
275,237.9
275.5,237.68
276,237.43
276.5,237.17
277,236.88
277.5,236.57
278,236.24
278.5,235.88
279,235.51
279.5,235.12
280,234.71
280.5,234.28
281,233.83
281.5,233.36
282,232.88
282.5,232.38
283,231.86
283.5,231.33
284,230.78
284.5,230.22
285,229.64
285.5,229.05
286,228.44
286.5,227.82
287,227.19
287.5,226.54
288,225.89
288.5,225.22
289,224.54
289.5,223.85
290,223.14
290.5,222.43
291,221.71
291.5,220.98
292,220.24
292.5,219.48
293,218.72
293.5,217.96
294,217.18
294.5,216.4
295,215.6
295.5,214.8
296,214
296.5,213.18
297,212.36
297.5,211.54
298,210.71
298.5,209.87
299,209.03
299.5,208.18
300,207.33
300.5,206.47
301,205.6
301.5,204.74
302,203.87
302.5,202.99
303,202.11
303.5,201.23
304,200.34
304.5,199.46
305,198.56
305.5,197.67
306,196.77
306.5,195.87
307,194.97
307.5,194.07
308,193.17
308.5,192.26
309,191.35
309.5,190.44
310,189.53
310.5,188.62
311,187.71
311.5,186.79
312,185.88
312.5,184.96
313,184.05
313.5,183.13
314,182.22
314.5,181.3
315,180.39
315.5,179.47
316,178.56
316.5,177.64
317,176.73
317.5,175.82
318,174.91
318.5,174
319,173.09
319.5,172.18
320,171.27
320.5,170.37
321,169.46
321.5,168.56
322,167.66
322.5,166.76
323,165.86
323.5,164.96
324,164.07
324.5,163.18
325,162.29
325.5,161.4
326,160.51
326.5,159.63
